Назва оголошення,"Ціна оголошення, грн.",Розташування,Посилання
Девочка Французкого бульдога в окрасе Мерле,55 779,Полтава - 18 липня 2022 р.,https://olx.ua/d/uk/obyavlenie/devochka-frantsuzkogo-buldoga-v-okrase-merle-IDJkPxP.html
Замечательный мальчики французского бульдога,55 779,"Київ, Печерський - 02 серпня 2022 р.",https://olx.ua/d/uk/obyavlenie/zamechatelnyy-malchiki-frantsuzskogo-buldoga-IDOAzXB.html
Чудесные  веселые  девочки,17 961,"Київ, Святошинський - 24 липня 2022 р.",https://olx.ua/d/uk/obyavlenie/chudesnye-veselye-devochki-IDICCMN.html
"Бантики красивые, веселые","13 350, Договірна","Київ, Святошинський - 04 серпня 2022 р.",https://olx.ua/d/uk/obyavlenie/bantiki-krasivye-veselye-IDElJ5C.html
Девченки  бульдожки,"13 800, Договірна","Київ, Святошинський - 05 серпня 2022 р.",https://olx.ua/d/uk/obyavlenie/devchenki-buldozhki-IDBGZkQ.html
Девочка Мэрле Француз,25 000,Верхівцеве - 31 липня 2022 р.,https://olx.ua/d/uk/obyavlenie/devochka-merle-frantsuz-IDP0Qlp.html
Девочка Мэрле Француз,30 000,Слов'янськ - 12 липня 2022 р.,https://olx.ua/d/uk/obyavlenie/devochka-merle-frantsuz-IDOBCfy.html
Девочка Голубое Мэрле,25 000,Слов'янськ - 11 липня 2022 р.,https://olx.ua/d/uk/obyavlenie/devochka-goluboe-merle-IDO9cK7.html
Мэрле Девочка Француз,25 000,Слов'янськ - 19 липня 2022 р.,https://olx.ua/d/uk/obyavlenie/merle-devochka-frantsuz-IDNmW0S.html
Девушка и девушка,"18 333, Договірна","Київ, Святошинський - 22 липня 2022 р.",https://olx.ua/d/uk/obyavlenie/devushka-i-devushka-IDMtKsa.html
